,second_name,first_name,team,element_type,selected_by_percent,minutes,value_season,total_points,bps,influence,creativity,threat,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,position,Avg Playtime,PPG,PPGP,Full Name
165,Riedewald,Jairo,Crystal Palace,3,0.1,1810,12.8,64,249,274.0,160.4,88.0,2,0,4,39,0,0,0,4,0,0,4,Midfielder,47.63157894736842,1.6842105263157894,3.18232044198895,"Riedewald, Jairo - Crystal Palace"
363,Walcott,Theo,Southampton,3,0.2,1629,12.7,76,185,269.8,248.0,366.0,3,4,5,28,0,0,0,0,0,0,2,Midfielder,42.86842105263158,2.0,4.198895027624309,"Walcott, Theo - Southampton"
286,Zinchenko,Oleksandr,Man City,2,1.9,1473,12.5,69,353,272.0,295.7,134.0,0,0,8,14,0,0,0,0,0,0,5,Defender,38.76315789473684,1.8157894736842106,4.215885947046843,"Zinchenko, Oleksandr - Man City"
87,March,Solomon,Brighton,3,0.1,1670,12.5,69,283,368.6,414.3,322.0,2,2,7,25,0,0,0,0,0,0,6,Midfielder,43.94736842105263,1.8157894736842106,3.718562874251497,"March, Solomon - Brighton"
12,Maitland-Niles,Ainsley,Arsenal,3,0.1,1714,12.4,68,273,218.2,128.9,142.0,0,2,6,23,0,0,0,2,0,0,1,Midfielder,45.10526315789474,1.7894736842105263,3.570595099183197,"Maitland-Niles, Ainsley - Arsenal"
139,Kanté,N'Golo,Chelsea,3,4.7,2140,12.4,62,375,449.0,347.3,96.0,0,2,10,24,0,0,0,7,0,0,0,Midfielder,56.31578947368421,1.631578947368421,2.6074766355140184,"Kanté, N'Golo - Chelsea"
334,Apolinário de Lira,Joelinton Cássio,Newcastle,4,0.7,1979,12.3,74,258,357.0,250.1,612.0,4,2,3,36,0,0,0,3,0,0,5,Forward,52.078947368421055,1.9473684210526316,3.36533602829712,"Apolinário de Lira, Joelinton Cássio - Newcastle"
294,Pogba,Paul,Man Utd,3,2.7,1892,12.3,92,355,451.4,376.0,401.0,3,6,5,26,0,0,0,3,0,0,11,Midfielder,49.78947368421053,2.4210526315789473,4.376321353065539,"Pogba, Paul - Man Utd"
394,Rodrigues Moura da Silva,Lucas,Spurs,3,0.7,1397,12.3,80,238,322.4,258.4,298.0,3,5,4,18,0,0,0,1,0,0,5,Midfielder,36.76315789473684,2.1052631578947367,5.153901216893343,"Rodrigues Moura da Silva, Lucas - Spurs"
459,Benrahma,Saïd,West Ham,3,2.1,1376,12.2,73,255,301.0,371.9,371.0,1,6,3,19,0,0,0,0,0,0,4,Midfielder,36.21052631578947,1.9210526315789473,4.774709302325581,"Benrahma, Saïd - West Ham"
142,Christensen,Andreas,Chelsea,2,0.9,1371,12.2,61,323,293.4,80.9,34.0,0,0,8,17,0,0,0,2,1,0,9,Defender,36.078947368421055,1.605263157894737,4.00437636761488,"Christensen, Andreas - Chelsea"
141,Loftus-Cheek,Ruben,Chelsea,3,0.1,1962,12.0,66,178,201.6,274.0,439.0,1,0,11,22,0,0,0,3,0,0,0,Midfielder,51.63157894736842,1.736842105263158,3.0275229357798166,"Loftus-Cheek, Ruben - Chelsea"
2,Borges Da Silva,Willian,Arsenal,3,0.3,1398,12.0,78,306,256.2,534.8,228.0,1,7,3,17,0,0,0,0,0,0,9,Midfielder,36.78947368421053,2.0526315789473686,5.021459227467811,"Borges Da Silva, Willian - Arsenal"
490,Ait Nouri,Rayan,Wolves,2,1.5,1400,12.0,54,264,243.2,234.5,196.0,1,1,3,23,0,0,0,1,0,0,6,Defender,36.8421052631579,1.4210526315789473,3.4714285714285715,"Ait Nouri, Rayan - Wolves"
486,Silva,Fabio,Wolves,4,1.0,1352,12.0,72,198,238.2,166.1,758.0,4,3,0,29,0,0,0,2,0,0,5,Forward,35.578947368421055,1.894736842105263,4.792899408284024,"Silva, Fabio - Wolves"
